
---- START at 2025-05-30 02:56:02, Remain=5338/5338 ----
[11/5338] JOHFIW_manual Done. TimeForThis=67.8s, Completed=1/5338, ETA=2025-06-03 07:26:50
[23/5338] JOKYAJ10_clean Done. TimeForThis=68.6s, Completed=2/5338, ETA=2025-06-01 05:48:13
[28/5338] JOKYOX10_clean Done. TimeForThis=73.4s, Completed=3/5338, ETA=2025-05-31 15:13:47
[27/5338] JOKYIR_clean Done. TimeForThis=73.9s, Completed=4/5338, ETA=2025-05-31 06:20:43
[26/5338] JOKYIR10_clean Done. TimeForThis=73.9s, Completed=5/5338, ETA=2025-05-31 00:52:14
[24/5338] JOKYAJ_clean Done. TimeForThis=74.1s, Completed=6/5338, ETA=2025-05-30 21:15:25
[29/5338] JOKYOX_clean Done. TimeForThis=74.7s, Completed=7/5338, ETA=2025-05-30 18:46:25
[25/5338] JOKYEN_clean Done. TimeForThis=75.8s, Completed=8/5338, ETA=2025-05-30 16:58:52
[10/5338] JOGSAA_clean Done. TimeForThis=81.4s, Completed=9/5338, ETA=2025-05-30 16:20:30
[14/5338] JOKWOV_clean Done. TimeForThis=82.3s, Completed=10/5338, ETA=2025-05-30 15:08:14
[20/5338] JOKXOW_clean Done. TimeForThis=87.6s, Completed=11/5338, ETA=2025-05-30 14:44:55
[19/5338] JOKXOW10_clean Done. TimeForThis=88.4s, Completed=12/5338, ETA=2025-05-30 13:51:44
[15/5338] JOKXAI10_clean Done. TimeForThis=88.6s, Completed=13/5338, ETA=2025-05-30 13:02:43
[16/5338] JOKXAI_clean Done. TimeForThis=88.9s, Completed=14/5338, ETA=2025-05-30 12:21:15
[1/5338] JOCLOD_clean Done. TimeForThis=104.5s, Completed=15/5338, ETA=2025-05-30 13:15:36
[8/5338] JOGHEU_clean Done. TimeForThis=119.8s, Completed=16/5338, ETA=2025-05-30 14:02:08
[12/5338] JOJKUQ_clean Done. TimeForThis=120.1s, Completed=17/5338, ETA=2025-05-30 13:24:34
[9/5338] JOGHIY_clean Done. TimeForThis=122.2s, Completed=18/5338, ETA=2025-05-30 12:59:55
[4/5338] JODGEP_clean Done. TimeForThis=122.3s, Completed=19/5338, ETA=2025-05-30 12:28:57
[5/5338] JOFGOC_clean Done. TimeForThis=132.7s, Completed=20/5338, ETA=2025-05-30 12:46:12
[13/5338] JOJLOK_clean Done. TimeForThis=134.4s, Completed=21/5338, ETA=2025-05-30 12:25:33
[7/5338] JOFKIA_clean Done. TimeForThis=137.9s, Completed=22/5338, ETA=2025-05-30 12:13:50
[22/5338] JOKXUC_clean Done. TimeForThis=138.1s, Completed=23/5338, ETA=2025-05-30 11:50:30
[21/5338] JOKXUC10_clean Done. TimeForThis=141.3s, Completed=24/5338, ETA=2025-05-30 11:39:53
[44/5338] JOVROD_clean Done. TimeForThis=56.0s, Completed=25/5338, ETA=2025-05-30 11:29:54
[17/5338] JOKXEM10_clean Done. TimeForThis=146.4s, Completed=26/5338, ETA=2025-05-30 11:17:14
[18/5338] JOKXEM_clean Done. TimeForThis=147.4s, Completed=27/5338, ETA=2025-05-30 11:01:50
[42/5338] JOTHOP_clean Done. TimeForThis=82.4s, Completed=28/5338, ETA=2025-05-30 11:39:18
[43/5338] JOVDON_clean Done. TimeForThis=82.5s, Completed=29/5338, ETA=2025-05-30 11:38:02
[35/5338] JORBAV_clean Done. TimeForThis=117.0s, Completed=30/5338, ETA=2025-05-30 12:20:41
[34/5338] JOQZUM_clean Done. TimeForThis=123.3s, Completed=31/5338, ETA=2025-05-30 12:06:44
[47/5338] JOVYAW_clean Done. TimeForThis=91.5s, Completed=32/5338, ETA=2025-05-30 12:00:51
[32/5338] JOPWUI_clean Done. TimeForThis=197.1s, Completed=33/5338, ETA=2025-05-30 11:47:24
[40/5338] JOSNAG01_clean Done. TimeForThis=122.5s, Completed=34/5338, ETA=2025-05-30 11:34:55
[3/5338] JODFOZ_clean Done. TimeForThis=199.9s, Completed=35/5338, ETA=2025-05-30 11:24:08
[33/5338] JOQSOZ_clean Done. TimeForThis=132.6s, Completed=36/5338, ETA=2025-05-30 11:11:19
[41/5338] JOSNAG_clean Done. TimeForThis=119.7s, Completed=37/5338, ETA=2025-05-30 10:59:25
[53/5338] JUCXEK_clean Done. TimeForThis=70.4s, Completed=38/5338, ETA=2025-05-30 10:55:38
[6/5338] JOFKIA01_clean Done. TimeForThis=207.4s, Completed=39/5338, ETA=2025-05-30 10:49:17
[37/5338] JORRAL_clean Done. TimeForThis=135.6s, Completed=40/5338, ETA=2025-05-30 10:42:14
[50/5338] JOYKUF_clean Done. TimeForThis=96.7s, Completed=41/5338, ETA=2025-05-30 10:50:58
[46/5338] JOVXEZ_clean Done. TimeForThis=139.4s, Completed=42/5338, ETA=2025-05-30 10:59:49
[48/5338] JOWFOQ_clean Done. TimeForThis=114.5s, Completed=43/5338, ETA=2025-05-30 11:00:45
[52/5338] JUCGUL_clean Done. TimeForThis=104.8s, Completed=44/5338, ETA=2025-05-30 10:56:14
[55/5338] JUFZER_clean Done. TimeForThis=100.8s, Completed=45/5338, ETA=2025-05-30 10:48:30
[2/5338] JOCWIJ_clean Done. TimeForThis=242.3s, Completed=46/5338, ETA=2025-05-30 10:44:40
[51/5338] JUBXIP_clean Done. TimeForThis=126.9s, Completed=47/5338, ETA=2025-05-30 10:47:53
[38/5338] JORSEQ_clean Done. TimeForThis=176.0s, Completed=48/5338, ETA=2025-05-30 10:39:41
[54/5338] JUFREJ_clean Done. TimeForThis=115.6s, Completed=49/5338, ETA=2025-05-30 10:36:23
